package	ondiskversion	loadedversion	path	loadedpath	attached	is_base	date	source	md5ok	library
alpine	alpine	1.18.0	1.18.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/alpine	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/alpine	TRUE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
AnnotationDbi	AnnotationDbi	1.56.2	1.56.2	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/AnnotationDbi	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/AnnotationDbi	TRUE	FALSE	2021-11-09	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
assertthat	assertthat	0.2.1	0.2.1	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/assertthat	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/assertthat	FALSE	FALSE	2019-03-21	CRAN (R 4.1.0)	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
Biobase	Biobase	2.54.0	2.54.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Biobase	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Biobase	TRUE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
BiocFileCache	BiocFileCache	2.0.0	2.0.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocFileCache	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocFileCache	FALSE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
BiocGenerics	BiocGenerics	0.40.0	0.40.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocGenerics	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocGenerics	TRUE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
BiocIO	BiocIO	1.2.0	1.2.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocIO	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocIO	FALSE	FALSE	2021-05-19	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
BiocParallel	BiocParallel	1.28.3	1.28.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocParallel	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/BiocParallel	FALSE	FALSE	2021-12-09	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
biomaRt	biomaRt	2.48.3	2.48.3	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/biomaRt	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/biomaRt	FALSE	FALSE	2021-08-15	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
Biostrings	Biostrings	2.62.0	2.62.0	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Biostrings	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library/Biostrings	TRUE	FALSE	2021-10-26	Bioconductor	NA	/fs/cbcb-lab/rob/students/noor/conda/envs/R4.1/lib/R/library
